Timestamp,Location,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,
9/3/2023 10:30,Sungai Besi,-55,5,0.7,0.8,
9/3/2023 10:31,Sungai Besi,-85,23,0.115,0.14,
9/3/2023 10:32,Sungai Besi,-44,44,6,6.3,
9/3/2023 10:33,Sungai Besi,-57,5,0.7,0.8,
9/3/2023 10:34,Sungai Besi,-67,21,3.7,4,
9/3/2023 10:35,Sungai Besi,-111,66,0.47,0.47,
9/3/2023 10:36,Sungai Besi,-107,5,0.1,0.1,
9/3/2023 10:37,Sungai Besi,-87,32,3.6,4,
9/3/2023 10:38,Sungai Besi,-101,18,0.4,0.4,
9/3/2023 10:39,Sungai Besi,-84,38,4.5,5,
9/3/2023 10:40,Sungai Besi,-85,28,1.5,1.5,
9/3/2023 10:41,Sungai Besi,-73,28,10.5,12.5,
9/3/2023 10:42,Sungai Besi,-92,43,3.1,3.6,
9/3/2023 10:43,Sungai Besi,-102,99,0.001,0.002,
9/3/2023 10:44,Sungai Besi,-47,41,5.7,6,
9/3/2023 10:45,Sungai Besi,-101,102,0.003,0.004,
9/3/2023 10:46,Sungai Besi,-80,28,0.09,0.115,
9/3/2023 10:47,Sungai Besi,-62,6,0.8,0.9,
9/3/2023 10:48,Sungai Besi,-98,105,0.006,0.007,
9/3/2023 10:49,Sungai Besi,-96,25,0.6,0.6,
9/3/2023 10:50,Sungai Besi,-88,30,1,1,
9/3/2023 10:51,Sungai Besi,-89,40,3.4,3.9,
9/3/2023 10:52,Sungai Besi,-95,46,0.65,0.65,
9/3/2023 10:53,Sungai Besi,-74,21,2.9,3.2,
9/3/2023 10:54,Sungai Besi,-43,49,14.1,15.4,
9/3/2023 10:55,Sungai Besi,-67,24,11.2,12.5,
9/3/2023 10:56,Sungai Besi,-52,36,5.2,5.5,
9/3/2023 10:57,Sungai Besi,-101,102,0.03,0.04,
9/3/2023 10:58,Sungai Besi,-83,27,10.8,12,
9/3/2023 10:59,Sungai Besi,-87,21,0.125,0.15,
9/3/2023 11:00,Sungai Besi,-98,43,0.68,0.68,
9/3/2023 11:01,Sungai Besi,-41,47,6.3,6.6,
9/3/2023 11:02,Sungai Besi,-103,58,0.55,0.55,
9/3/2023 11:03,Sungai Besi,-83,34,4,4.5,
9/3/2023 11:04,Sungai Besi,-57,33,12.5,13.8,
9/3/2023 11:05,Sungai Besi,-76,23,2.7,3,
9/3/2023 11:06,Sungai Besi,-62,26,4.2,4.5,
9/3/2023 11:07,Sungai Besi,-66,7,1.1,1.2,
9/3/2023 11:08,Sungai Besi,-96,25,0.6,0.6,
9/3/2023 11:09,Sungai Besi,-103,58,0.55,0.55,
9/3/2023 11:10,Sungai Besi,-84,20,0.165,0.185,
9/3/2023 11:11,Sungai Besi,-46,42,5.8,6.1,
9/3/2023 11:12,Sungai Besi,-88,39,3.5,4,
9/3/2023 11:13,Sungai Besi,-65,23,3.9,4.2,
9/3/2023 11:14,Sungai Besi,-102,15,0.3,0.3,
9/3/2023 11:15,Sungai Besi,-108,2,0.1,0.1,
9/3/2023 11:16,Sungai Besi,-63,45,0.005,0.03,
9/3/2023 11:17,Sungai Besi,-114,69,0.44,0.44,
9/3/2023 11:18,Sungai Besi,-73,35,0.055,0.08,
9/3/2023 11:19,Sungai Besi,-81,32,4.2,4.7,
9/3/2023 11:20,Sungai Besi,-57,33,12.5,13.8,
9/3/2023 11:21,Sungai Besi,-103,54,2,2.5,
9/3/2023 11:22,Sungai Besi,-84,35,3.9,4.4,
9/3/2023 11:23,Sungai Besi,-82,33,4.1,4.6,
9/3/2023 11:24,Sungai Besi,-92,37,3.1,3.5,
9/3/2023 11:25,Sungai Besi,-60,28,4.4,4.7,
9/3/2023 11:26,Sungai Besi,-89,34,3.4,3.8,
9/3/2023 11:27,Sungai Besi,-83,25,0.105,0.13,
9/3/2023 11:28,Sungai Besi,-93,46,0.63,0.63,
9/3/2023 11:29,Sungai Besi,-101,17,0.4,0.4,
9/3/2023 11:30,Sungai Besi,-43,5,0.5,0.5,
9/3/2023 11:31,Sungai Besi,-67,24,11.2,12.5,
9/3/2023 11:32,Sungai Besi,-42,5,0.4,0.4,
9/3/2023 11:33,Sungai Besi,-76,31,4.6,5.2,
9/3/2023 11:34,Sungai Besi,-117,72,0.41,0.41,
9/3/2023 11:35,Sungai Besi,-75,30,5,5.7,
9/3/2023 11:36,Sungai Besi,-95,46,0.65,0.65,
9/3/2023 11:37,Sungai Besi,-89,17,0.14,0.165,
9/3/2023 11:38,Sungai Besi,-90,29,4,4.3,
9/3/2023 11:39,Sungai Besi,-41,51,14.3,15.6,
9/3/2023 11:40,Sungai Besi,-78,30,10.2,12.2,
9/3/2023 11:41,Sungai Besi,-70,10,1,1.5,
9/3/2023 11:42,Sungai Besi,-88,39,3.5,4,
9/3/2023 11:43,Sungai Besi,-106,57,1.7,2.2,
9/3/2023 11:44,Sungai Besi,-83,25,0.105,0.13,
9/3/2023 11:45,Sungai Besi,-68,28,11.3,12.6,
9/3/2023 11:46,Sungai Besi,-60,48,1,1,
9/3/2023 11:47,Sungai Besi,-81,32,4.2,4.7,
9/3/2023 11:48,Sungai Besi,-98,51,0.62,0.62,
9/3/2023 11:49,Sungai Besi,-90,41,3.3,3.8,
9/3/2023 11:50,Sungai Besi,-88,30,1,1,
9/3/2023 11:51,Sungai Besi,-50,5,0.6,0.6,
9/3/2023 11:52,Sungai Besi,-88,31,3.8,4.1,
9/3/2023 11:53,Sungai Besi,-78,25,2.4,2.7,
9/3/2023 11:54,Sungai Besi,-59,49,0.01,0.01,
9/3/2023 11:55,Sungai Besi,-63,27,11.9,13.2,
9/3/2023 11:56,Sungai Besi,-90,35,3.3,3.7,
9/3/2023 11:57,Sungai Besi,-69,19,3.5,3.8,
9/3/2023 11:58,Sungai Besi,-86,31,3.6,3.9,
9/3/2023 11:59,Sungai Besi,-85,32,3.5,3.8,
9/3/2023 12:00,Sungai Besi,-58,5,0.8,1,
9/3/2023 12:01,Sungai Besi,-107,4,0.1,0.1,
9/3/2023 12:02,Sungai Besi,-47,43,13.5,14.8,
9/3/2023 12:03,Sungai Besi,-79,34,4.3,4.9,
9/3/2023 12:04,Sungai Besi,-101,55,0.58,0.58,
9/3/2023 12:05,Sungai Besi,-106,51,1.7,2.1,
9/3/2023 12:06,Sungai Besi,-67,41,0.025,0.05,
9/3/2023 12:07,Sungai Besi,-50,5,0.6,0.6,
9/3/2023 12:08,Sungai Besi,-122,77,0.36,0.36,
9/3/2023 12:09,Sungai Besi,-100,51,2.3,2.8,
9/3/2023 12:10,Sungai Besi,-97,48,2.6,3.1,
9/3/2023 12:11,Sungai Besi,-113,68,0.45,0.45,
9/3/2023 12:12,Sungai Besi,-44,44,6,6.3,
9/3/2023 12:13,Sungai Besi,-41,47,6.3,6.6,
9/3/2023 12:14,Sungai Besi,-49,5,0.6,0.6,
9/3/2023 12:15,Sungai Besi,-85,19,0.15,0.175,
9/3/2023 12:16,Sungai Besi,-67,7,1,1.1,
9/3/2023 12:17,Sungai Besi,-67,21,3.7,4,
9/3/2023 12:18,Sungai Besi,-78,25,2.4,2.7,
9/3/2023 12:19,Sungai Besi,-121,76,0.37,0.37,
9/3/2023 12:20,Sungai Besi,-58,32,12.4,13.7,
9/3/2023 12:21,Sungai Besi,-94,45,2.9,3.4,
9/3/2023 12:22,Sungai Besi,-86,29,1.4,1.4,
9/3/2023 12:23,Sungai Besi,-112,67,0.46,0.46,
9/3/2023 12:24,Sungai Besi,-80,23,2.2,2.5,
9/3/2023 12:25,Sungai Besi,-92,43,3.1,3.6,
9/3/2023 12:26,Sungai Besi,-59,31,12.3,13.6,
9/3/2023 12:27,Sungai Besi,-102,57,0.56,0.56,
9/3/2023 12:28,Sungai Besi,-80,28,0.09,0.115,
9/3/2023 12:29,Sungai Besi,-86,20,0.155,0.18,
9/3/2023 12:30,Sungai Besi,-85,40,5,6,
9/3/2023 12:31,Sungai Besi,-55,5,0.7,0.8,
9/3/2023 12:32,Sungai Besi,-94,39,2.9,3.3,
9/3/2023 12:33,Sungai Besi,-68,40,0.03,0.055,
9/3/2023 12:34,Sungai Besi,-58,5,0.8,1,
9/3/2023 12:35,Sungai Besi,-64,7,1,1.1,
9/3/2023 12:36,Sungai Besi,-78,25,2,3,
9/3/2023 12:37,Sungai Besi,-70,27,10.7,12.3,
9/3/2023 12:38,Sungai Besi,-82,28,10.7,12.2,
9/3/2023 12:39,Sungai Besi,-43,48,14,15.3,
9/3/2023 12:40,Sungai Besi,-97,42,2.6,3,
9/3/2023 12:41,Sungai Besi,-40,53,14.5,15.8,
9/3/2023 12:42,Sungai Besi,-94,24,0.7,0.7,
9/3/2023 12:43,Sungai Besi,-56,34,12.6,13.9,
9/3/2023 12:44,Sungai Besi,-61,27,4.3,4.6,
9/3/2023 12:45,Sungai Besi,-97,49,0.64,0.64,
9/3/2023 12:46,Sungai Besi,-84,35,3.9,4.4,
9/3/2023 12:47,Sungai Besi,-56,52,0.1,0.1,
9/3/2023 12:48,Sungai Besi,-83,31,4,4.4,
9/3/2023 12:49,Sungai Besi,-51,39,13.1,14.4,
9/3/2023 12:50,Sungai Besi,-80,31,4.4,4.9,
9/3/2023 12:51,Sungai Besi,-109,1,0.1,0.1,
9/3/2023 12:52,Sungai Besi,-83,37,4.2,4.8,
9/3/2023 12:53,Sungai Besi,-91,42,3.2,3.7,
9/3/2023 12:54,Sungai Besi,-100,103,0.004,0.005,
9/3/2023 12:55,Sungai Besi,-84,24,0.11,0.135,
9/3/2023 12:56,Sungai Besi,-102,47,2.1,2.5,
9/3/2023 12:57,Sungai Besi,-84,24,0.11,0.135,
9/3/2023 12:58,Sungai Besi,-94,45,0.64,0.64,
9/3/2023 12:59,Sungai Besi,-106,57,1.7,2.2,
9/3/2023 13:00,Sungai Besi,-117,72,0.41,0.41,
9/3/2023 13:01,Sungai Besi,-67,41,0.025,0.05,
9/3/2023 13:02,Sungai Besi,-106,51,1.7,2.1,
9/3/2023 13:03,Sungai Besi,-85,32,3.5,3.8,
9/3/2023 13:04,Sungai Besi,-68,40,0.03,0.055,
9/3/2023 13:05,Sungai Besi,-57,31,4.7,5,
9/3/2023 13:06,Sungai Besi,-97,49,0.64,0.64,
9/3/2023 13:07,Sungai Besi,-97,110,0.007,0.008,
9/3/2023 13:08,Sungai Besi,-113,68,0.45,0.45,
9/3/2023 13:09,Sungai Besi,-91,25,0.9,0.9,
9/3/2023 13:10,Sungai Besi,-103,14,0.3,0.3,
9/3/2023 13:11,Sungai Besi,-40,5,0.4,0.4,
9/3/2023 13:12,Sungai Besi,-75,33,0.065,0.09,
9/3/2023 13:13,Sungai Besi,-93,46,0.63,0.63,
9/3/2023 13:14,Sungai Besi,-102,57,0.56,0.56,
9/3/2023 13:15,Sungai Besi,-52,36,5.2,5.5,
9/3/2023 13:16,Sungai Besi,-62,6,0.8,0.9,
9/3/2023 13:17,Sungai Besi,-86,22,0.12,0.145,
9/3/2023 13:18,Sungai Besi,-85,19,0.15,0.175,
9/3/2023 13:19,Sungai Besi,-63,26,11.8,13.1,
9/3/2023 13:20,Sungai Besi,-90,29,4,4.3,
9/3/2023 13:21,Sungai Besi,-101,102,0.003,0.004,
9/3/2023 13:22,Sungai Besi,-43,5,0.5,0.5,
9/3/2023 13:23,Sungai Besi,-101,52,2.2,2.7,
9/3/2023 13:24,Sungai Besi,-87,32,3.7,4,
9/3/2023 13:25,Sungai Besi,-114,69,0.44,0.44,
9/3/2023 13:26,Sungai Besi,-77,32,4.5,5.1,
9/3/2023 13:27,Sungai Besi,-50,38,5.4,5.7,
9/3/2023 13:28,Sungai Besi,-88,18,0.145,0.17,
9/3/2023 13:29,Sungai Besi,-98,49,2.5,3,
9/3/2023 13:30,Sungai Besi,-76,31,4.6,5.2,
9/3/2023 13:31,Sungai Besi,-88,20,0.13,0.155,
9/3/2023 13:32,Sungai Besi,-95,100,0.01,0.015,
9/3/2023 13:33,Sungai Besi,-85,19,0.15,0.175,
9/3/2023 13:34,Sungai Besi,-111,10,0.1,0.1,
9/3/2023 13:35,Sungai Besi,-63,26,11.8,13.1,
9/3/2023 13:36,Sungai Besi,-68,20,3.6,3.9,
9/3/2023 13:37,Sungai Besi,-69,9,1.2,1.3,
9/3/2023 13:38,Sungai Besi,-118,73,0.4,0.4,
9/3/2023 13:39,Sungai Besi,-53,37,12.9,14.2,
9/3/2023 13:40,Sungai Besi,-87,19,0.15,0.175,
9/3/2023 13:41,Sungai Besi,-62,6,0.8,0.9,
9/3/2023 13:42,Sungai Besi,-82,21,0.16,0.18,
9/3/2023 13:43,Sungai Besi,-46,5,0.5,0.5,
9/3/2023 13:44,Sungai Besi,-51,5,0.6,0.6,
9/3/2023 13:45,Sungai Besi,-105,60,0.53,0.53,
9/3/2023 13:46,Sungai Besi,-99,46,0.62,0.62,
9/3/2023 13:47,Sungai Besi,-99,42,0.69,0.69,
9/3/2023 13:48,Sungai Besi,-63,26,11.8,13.1,
9/3/2023 13:49,Sungai Besi,-108,59,1.5,2,
9/3/2023 13:50,Sungai Besi,-75,30,10,15,
9/3/2023 13:51,Sungai Besi,-79,29,0.085,0.11,
9/3/2023 13:52,Sungai Besi,-44,44,6,6.3,
9/3/2023 13:53,Sungai Besi,-91,28,4.1,4.4,
9/3/2023 13:54,Sungai Besi,-58,30,4.6,4.9,
9/3/2023 13:55,Sungai Besi,-114,69,0.44,0.44,
9/3/2023 13:56,Sungai Besi,-92,25,0.8,0.8,
9/3/2023 13:57,Sungai Besi,-89,30,4.1,4.4,
9/3/2023 13:58,Sungai Besi,-41,5,0.4,0.4,
9/3/2023 13:59,Sungai Besi,-86,22,0.12,0.145,
9/3/2023 14:00,Sungai Besi,-80,23,2.2,2.5,
9/3/2023 14:01,Sungai Besi,-40,5,0.4,0.4,
9/3/2023 14:02,Sungai Besi,-62,6,0.8,0.9,
9/3/2023 14:03,Sungai Besi,-86,31,3.7,4.1,
9/3/2023 14:04,Sungai Besi,-110,65,0.48,0.48,
9/3/2023 14:05,Sungai Besi,-66,26,11,12.3,
9/3/2023 14:06,Sungai Besi,-77,32,4.5,5.1,
9/3/2023 14:07,Sungai Besi,-76,23,2.7,3,
9/3/2023 14:08,Sungai Besi,-49,5,0.6,0.6,
9/3/2023 14:09,Sungai Besi,-93,44,3,3.5,
9/3/2023 14:10,Sungai Besi,-51,39,13.1,14.4,
9/3/2023 14:11,Sungai Besi,-76,23,2.7,3,
9/3/2023 14:12,Sungai Besi,-97,110,0.007,0.008,
9/3/2023 14:13,Sungai Besi,-57,5,0.7,0.9,
9/3/2023 14:14,Sungai Besi,-108,59,1.5,2,
9/3/2023 14:15,Sungai Besi,-85,23,0.115,0.14,
9/3/2023 14:16,Sungai Besi,-83,25,0.105,0.13,
9/3/2023 14:17,Sungai Besi,-103,13,0.3,0.3,
9/3/2023 14:18,Sungai Besi,-94,39,2.9,3.3,
9/3/2023 14:19,Sungai Besi,-108,59,1.5,2,
9/3/2023 14:20,Sungai Besi,-112,57,1.1,1.5,
9/3/2023 14:21,Sungai Besi,-68,25,11,12.5,
9/3/2023 14:22,Sungai Besi,-90,29,4,4.3,
9/3/2023 14:23,Sungai Besi,-44,5,0.5,0.5,
9/3/2023 14:24,Sungai Besi,-111,0.000001,0.1,0.1,
9/3/2023 14:25,Sungai Besi,-80,35,4.1,4.7,
9/3/2023 14:26,Sungai Besi,-90,35,3.3,3.7,
9/3/2023 14:27,Sungai Besi,-86,22,0.12,0.145,
9/3/2023 14:28,Sungai Besi,-56,34,12.6,13.9,
9/3/2023 14:29,Sungai Besi,-70,10,1,1.5,
9/3/2023 14:30,Sungai Besi,-62,6,0.8,0.9,
9/3/2023 14:31,Sungai Besi,-66,26,11,12.3,
9/3/2023 14:32,Sungai Besi,-52,5,0.6,0.6,
9/3/2023 14:33,Sungai Besi,-67,24,11.2,12.5,
9/3/2023 14:34,Sungai Besi,-71,26,10.2,12.6,
9/3/2023 14:35,Sungai Besi,-101,52,2.2,2.7,
9/3/2023 14:36,Sungai Besi,-63,26,11.8,13.1,
9/3/2023 14:37,Sungai Besi,-72,36,0.05,0.075,
9/3/2023 14:38,Sungai Besi,-48,5,0.5,0.5,
9/3/2023 14:39,Sungai Besi,-53,37,12.9,14.2,
9/3/2023 14:40,Sungai Besi,-79,24,2.5,2.8,
9/3/2023 14:41,Sungai Besi,-99,44,2.4,2.8,
9/3/2023 14:42,Sungai Besi,-70,10,1,1.5,
9/3/2023 14:43,Sungai Besi,-104,99,0.001,0.002,
9/3/2023 14:44,Sungai Besi,-77,24,2.6,2.9,
9/3/2023 14:45,Sungai Besi,-91,25,0.9,0.9,
9/3/2023 14:46,Sungai Besi,-89,30,3.9,4.2,
9/3/2023 14:47,Sungai Besi,-82,26,0.1,0.125,
9/3/2023 14:48,Sungai Besi,-98,22,0.5,0.5,
9/3/2023 14:49,Sungai Besi,-94,24,0.7,0.7,
9/3/2023 14:50,Sungai Besi,-97,23,0.5,0.5,
9/3/2023 14:51,Sungai Besi,-98,43,0.68,0.68,
9/3/2023 14:52,Sungai Besi,-61,27,4.3,4.6,
9/3/2023 14:53,Sungai Besi,-99,52,0.61,0.61,
9/3/2023 14:54,Sungai Besi,-79,24,2.3,2.6,
9/3/2023 14:55,Sungai Besi,-77,24,2.6,2.9,
9/3/2023 14:56,Sungai Besi,-104,55,1.9,2.4,
9/3/2023 14:57,Sungai Besi,-112,57,1.1,1.5,
9/3/2023 14:58,Sungai Besi,-98,43,0.68,0.68,
9/3/2023 14:59,Sungai Besi,-56,52,0.000001,0.000001,
9/3/2023 15:00,Sungai Besi,-55,33,4.9,5.2,
9/3/2023 15:01,Sungai Besi,-86,18,0.155,0.18,
9/3/2023 15:02,Sungai Besi,-85,19,0.15,0.175,
9/3/2023 15:03,Sungai Besi,-98,43,0.68,0.68,
9/3/2023 15:04,Sungai Besi,-47,43,13.5,14.8,
9/3/2023 15:05,Sungai Besi,-82,36,4,4.6,
9/3/2023 15:06,Sungai Besi,-85,19,0.15,0.175,
9/3/2023 15:07,Sungai Besi,-109,1,0.1,0.1,
9/3/2023 15:08,Sungai Besi,-58,5,0.8,1,
9/3/2023 15:09,Sungai Besi,-102,16,0.4,0.4,
9/3/2023 15:10,Sungai Besi,-110,65,0.48,0.48,
9/3/2023 15:11,Sungai Besi,-86,31,3.7,4.1,
9/3/2023 15:12,Sungai Besi,-103,58,0.55,0.55,
9/3/2023 15:13,Sungai Besi,-47,43,13.5,14.8,
9/3/2023 15:14,Sungai Besi,-122,77,0.36,0.36,
9/3/2023 15:15,Sungai Besi,-57,51,0.000001,0.000001,
9/3/2023 15:16,Sungai Besi,-56,52,0.000001,0.000001,
9/3/2023 15:17,Sungai Besi,-87,19,0.15,0.175,
9/3/2023 15:18,Sungai Besi,-78,25,2.4,2.7,
9/3/2023 15:19,Sungai Besi,-75,30,5,5.7,
9/3/2023 15:20,Sungai Besi,-46,42,5.8,6.1,
9/3/2023 15:21,Sungai Besi,-98,105,0.006,0.007,
9/3/2023 15:22,Sungai Besi,-56,52,0.000001,0.000001,
9/3/2023 15:23,Sungai Besi,-99,20,0.4,0.4,
9/3/2023 15:24,Sungai Besi,-61,6,0.7,0.8,
9/3/2023 15:25,Sungai Besi,-40,53,14.5,15.8,
9/3/2023 15:26,Sungai Besi,-109,54,1.4,1.8,
9/3/2023 15:27,Sungai Besi,-68,25,11,12.5,
9/3/2023 15:28,Sungai Besi,-41,47,6.3,6.6,
9/3/2023 15:29,Sungai Besi,-63,25,4.1,4.4,
9/3/2023 15:30,Sungai Besi,-108,63,0.5,0.5,
9/3/2023 15:31,Sungai Besi,-109,54,1.4,1.8,
9/3/2023 15:32,Sungai Besi,-109,1,0.1,0.1,
9/3/2023 15:33,Sungai Besi,-84,35,3.9,4.4,
9/3/2023 15:34,Sungai Besi,-75,45,2,2,
9/3/2023 15:35,Sungai Besi,-52,5,0.6,0.6,
9/3/2023 15:36,Sungai Besi,-87,21,0.125,0.15,
9/3/2023 15:37,Sungai Besi,-72,27,10.8,12.8,
9/3/2023 15:38,Sungai Besi,-109,64,0.49,0.49,
9/3/2023 15:39,Sungai Besi,-79,24,2.3,2.6,
9/3/2023 15:40,Sungai Besi,-97,49,0.64,0.64,
9/3/2023 15:41,Sungai Besi,-63,25,4.1,4.4,
9/3/2023 15:42,Sungai Besi,-100,19,0.4,0.4,
9/3/2023 15:43,Sungai Besi,-94,24,0.7,0.7,
9/3/2023 15:44,Sungai Besi,-80,30,11,12.5,
9/3/2023 15:45,Sungai Besi,-53,5,0.6,0.6,
9/3/2023 15:46,Sungai Besi,-81,32,4.2,4.7,
9/3/2023 15:47,Sungai Besi,-70,18,3.4,3.7,
9/3/2023 15:48,Sungai Besi,-111,0.000001,0.1,0.1,
9/3/2023 15:49,Sungai Besi,-67,27,11.1,12.4,
9/3/2023 15:50,Sungai Besi,-41,5,0.4,0.4,
9/3/2023 15:51,Sungai Besi,-77,32,4.5,5.1,
9/3/2023 15:52,Sungai Besi,-82,30,4,4.4,
9/3/2023 15:53,Sungai Besi,-68,28,11.3,12.6,
9/3/2023 15:54,Sungai Besi,-69,39,0.035,0.06,
9/3/2023 15:55,Sungai Besi,-78,30,10.2,12.2,
9/3/2023 15:56,Sungai Besi,-44,5,0.5,0.5,
9/3/2023 15:57,Sungai Besi,-69,39,0.035,0.06,
9/3/2023 15:58,Sungai Besi,-57,51,0.000001,0.000001,
9/3/2023 15:59,Sungai Besi,-96,47,2.7,3.2,
9/3/2023 16:00,Sungai Besi,-98,43,2.5,2.9,
9/3/2023 16:01,Sungai Besi,-42,46,6.2,6.5,
9/3/2023 16:02,Sungai Besi,-95,100,0.01,0.015,
9/3/2023 16:03,Sungai Besi,-43,45,6.1,6.4,
9/3/2023 16:04,Sungai Besi,-87,28,1.2,1.2,
9/3/2023 16:05,Sungai Besi,-98,43,2.5,2.9,
9/3/2023 16:06,Sungai Besi,-55,35,12.7,14,
9/3/2023 16:07,Sungai Besi,-60,30,12.2,13.5,
9/3/2023 16:08,Sungai Besi,-62,6,0.8,0.9,
9/3/2023 16:09,Sungai Besi,-103,100,0.001,0.002,
9/3/2023 16:10,Sungai Besi,-61,6,0.7,0.8,
9/3/2023 16:11,Sungai Besi,-102,15,0.3,0.3,
9/3/2023 16:12,Sungai Besi,-48,42,13.4,14.7,
9/3/2023 16:13,Sungai Besi,-74,22,2.9,3.2,
9/3/2023 16:14,Sungai Besi,-42,46,6.2,6.5,
9/3/2023 16:15,Sungai Besi,-89,40,3.4,3.9,
9/3/2023 16:16,Sungai Besi,-101,18,0.4,0.4,
9/3/2023 16:17,Sungai Besi,-68,25,11,12.5,
9/3/2023 16:18,Sungai Besi,-75,22,2.8,3.1,
9/3/2023 16:19,Sungai Besi,-111,0.000001,0.1,0.1,
9/3/2023 16:20,Sungai Besi,-101,18,0.4,0.4,
9/3/2023 16:21,Sungai Besi,-104,11,0.2,0.2,
9/3/2023 16:22,Sungai Besi,-67,41,0.025,0.05,
9/3/2023 16:23,Sungai Besi,-104,99,0.001,0.002,
9/3/2023 16:24,Sungai Besi,-70,10,1,1.5,
9/3/2023 16:25,Sungai Besi,-77,31,11,13,
9/3/2023 16:26,Sungai Besi,-49,39,5.5,5.8,
9/3/2023 16:27,Sungai Besi,-107,5,0.1,0.1,
9/3/2023 16:28,Sungai Besi,-40,5,0.4,0.4,
9/3/2023 16:29,Sungai Besi,-77,31,0.075,0.1,
9/3/2023 16:30,Sungai Besi,-49,5,0.6,0.6,
9/3/2023 16:31,Sungai Besi,-53,5,0.6,0.6,
9/3/2023 16:32,Sungai Besi,-77,24,2.6,2.9,
9/3/2023 16:33,Sungai Besi,-66,26,11,12.3,
9/3/2023 16:34,Sungai Besi,-79,29,10.5,12.3,
9/3/2023 16:35,Sungai Besi,-91,28,4.1,4.4,
9/3/2023 16:36,Sungai Besi,-80,28,0.09,0.115,
9/3/2023 16:37,Sungai Besi,-41,5,0.4,0.4,
9/3/2023 16:38,Sungai Besi,-63,26,11.8,13.1,
9/3/2023 16:39,Sungai Besi,-91,42,3.2,3.7,
9/3/2023 16:40,Sungai Besi,-73,35,0.055,0.08,
9/3/2023 16:41,Sungai Besi,-83,37,4.2,4.8,
9/3/2023 16:42,Sungai Besi,-79,33,4.3,4.8,
9/3/2023 16:43,Sungai Besi,-78,25,2,3,
9/3/2023 16:44,Sungai Besi,-79,24,2.3,2.6,
9/3/2023 16:45,Sungai Besi,-95,26,0.7,0.7,
9/3/2023 16:46,Sungai Besi,-83,20,0.17,0.19,
9/3/2023 16:47,Sungai Besi,-67,27,11.1,12.4,
9/3/2023 16:48,Sungai Besi,-104,49,1.9,2.3,
9/3/2023 16:49,Sungai Besi,-99,52,0.61,0.61,
9/3/2023 16:50,Sungai Besi,-98,50,0.63,0.63,
9/3/2023 16:51,Sungai Besi,-40,5,0.4,0.4,
9/3/2023 16:52,Sungai Besi,-68,20,3.6,3.9,
9/3/2023 16:53,Sungai Besi,-49,5,0.6,0.6,
9/3/2023 16:54,Sungai Besi,-111,0.000001,0.1,0.1,
9/3/2023 16:55,Sungai Besi,-78,30,0.08,0.105,
9/3/2023 16:56,Sungai Besi,-80,35,4.1,4.7,
9/3/2023 16:57,Sungai Besi,-99,44,2.4,2.8,
9/3/2023 16:58,Sungai Besi,-104,11,0.2,0.2,
9/3/2023 16:59,Sungai Besi,-110,0.000001,0.1,0.1,
9/3/2023 17:00,Sungai Besi,-84,24,0.11,0.135,
9/3/2023 17:01,Sungai Besi,-67,27,11.1,12.4,
9/3/2023 17:02,Sungai Besi,-98,43,2.5,2.9,
9/3/2023 17:03,Sungai Besi,-50,40,13.2,14.5,
9/3/2023 17:04,Sungai Besi,-93,23,0.7,0.7,
